entityType,entityId,source,requiredFields,presentFields,missingFields,completenessPercent
diagnostic_item,cmowg7f49000fpspn4fmd317o,database,7,7,,100
diagnostic_item,cmowg7f49000gpspnw58xs9v2,database,7,7,,100
diagnostic_item,cmowg7f49000hpspn9clmw459,database,7,7,,100
diagnostic_item,cmowg7f49000ipspnjlz6ku31,database,7,7,,100
diagnostic_item,cmowg7f49000jpspnb6mtulja,database,7,7,,100
diagnostic_item,cmowg7f49000kpspnwq1izhz7,database,7,7,,100
diagnostic_item,cmowg7f49000lpspndubn111x,database,7,7,,100
diagnostic_item,cmowg7f49000mpspn0xawsxfj,database,7,7,,100
diagnostic_item,cmowg7f49000npspn92x5wkoz,database,7,7,,100
diagnostic_item,cmowg7f4a000opspn8rgx9ig7,database,7,7,,100
diagnostic_item,cmowg7f4a000ppspn2nj5pe1a,database,7,7,,100
diagnostic_item,cmowg7f4a000qpspn0r5oar52,database,7,7,,100
diagnostic_item,cmowg7f4a000rpspn6mtybp5l,database,7,7,,100
diagnostic_item,cmowg7f4a000spspnxczvqe2g,database,7,7,,100
diagnostic_item,cmowg7f4a000tpspn5pu2lh5d,database,7,7,,100
diagnostic_item,cmowg7f4a000upspnhnkmpmiu,database,7,7,,100
diagnostic_item,cmowg7f4a000vpspnac0orgdc,database,7,7,,100
diagnostic_item,cmowg7f4a000wpspnu34jub0a,database,7,7,,100
diagnostic_item,cmowg7f4a000xpspnw6qswnii,database,7,7,,100
diagnostic_item,cmowg7f4a000ypspniqxh3hmj,database,7,7,,100
diagnostic_item,cmowg7f4a000zpspn5fhd4s2w,database,7,7,,100
